name,developer,status,status_group,category,capacity_mw,capacity_label,landscape_weight,location,latitude,longitude,precision,nearest_nuclear_name,nearest_nuclear_state,nearest_nuclear_distance_mi,nearest_nuclear_capacity_mw,source,source_url,notes
Delta Gigasite - Expansion,,Planned,Planned,Publicly tracked data-center facility,9700.0,"9,700 MW",4.0,"Millard, UT",39.51095,-112.580122,Public tracker coordinates,Palo Verde,AZ,423.3,4209.6,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
PORTS Technology Campus - Phase 2,,Planned,Planned,Publicly tracked data-center facility,9200.0,"9,200 MW",4.0,"Pike, OH",39.008333,-83.0,Public tracker coordinates,Beaver Valley,PA,176.0,1846.8,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
GW Ranch,,Planned,Planned,Publicly tracked data-center facility,7650.0,"7,650 MW",4.0,"Pecos, TX",31.1621064,-102.8964115,Public tracker coordinates,Comanche Peak,TX,310.4,2430.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Nexus Hubbard - Expansion,,Planned,Planned,Publicly tracked data-center facility,7200.0,"7,200 MW",4.0,"Hill, TX",31.8394143,-96.7873009,Public tracker coordinates,Comanche Peak,TX,66.5,2430.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Monarch Compute Campus - Phase 2,,Planned,Planned,Publicly tracked data-center facility,6000.0,"6,000 MW",4.0,"Mason, WV",38.9087381,-82.105927,Public tracker coordinates,Beaver Valley,PA,148.0,1846.8,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Wonder Valley (Stratos Project) - Phase 2 (Expansion),,Planned,Planned,Publicly tracked data-center facility,6000.0,"6,000 MW",4.0,"Box Elder, UT",41.8421,-112.6194,Public tracker coordinates,Columbia Generating Station,WA,461.3,1200.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Fermi (Gas - Project Matador),,Planned,Planned,Publicly tracked data-center facility,6000.0,"6,000 MW",4.0,"Carson, TX",35.294622,-101.605936,Public tracker coordinates,Comanche Peak,TX,301.6,2430.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Meta Hyperion - Expansion (Phase 2),,Planned,Planned,Publicly tracked data-center facility,5238.0,"5,238 MW",4.0,"Richland Parish, LA",32.481467,-91.631042,Public tracker coordinates,Grand Gulf,MS,47.2,1440.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Fermi (Gas - Project Matador East),,Planned,Planned,Publicly tracked data-center facility,5000.0,"5,000 MW",4.0,"Carson, TX",35.302778,-101.527222,Public tracker coordinates,Comanche Peak,TX,298.7,2430.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Fermi (SMR/Expansion),,Planned,Planned,Publicly tracked data-center facility,4600.0,"4,600 MW",4.0,"Carson, TX",35.294622,-101.605936,Public tracker coordinates,Comanche Peak,TX,301.6,2430.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Homer City Energy Campus,,Planned,Planned,Publicly tracked data-center facility,4500.0,"4,500 MW",4.0,"Indiana, PA",40.51371697,-79.19672639,Public tracker coordinates,Beaver Valley,PA,65.3,1846.8,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Fermi (Nuclear),,Planned,Planned,Publicly tracked data-center facility,4400.0,"4,400 MW",4.0,"Carson, TX",35.294622,-101.605936,Public tracker coordinates,Comanche Peak,TX,301.6,2430.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
DCIP DeSoto County AI Data Center,,Planned,Planned,Publicly tracked data-center facility,4000.0,"4,000 MW",4.0,"DeSoto, FL",27.2237,-81.8207,Public tracker coordinates,St Lucie,FL,97.1,2160.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Tract Caldwell Valley,,Planned,Planned,Publicly tracked data-center facility,4000.0,"4,000 MW",4.0,"Caldwell, TX",29.921659,-97.759283,Public tracker coordinates,South Texas Project,TX,129.1,2708.6,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
High Performance Compute Data Center Campus,,Planned,Planned,Publicly tracked data-center facility,4000.0,"4,000 MW",4.0,"Millard, UT",39.1997678,-112.3689572,Public tracker coordinates,Palo Verde,AZ,402.5,4209.6,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Aligned Shippingport Data Center,,Planned,Planned,Publicly tracked data-center facility,3600.0,"3,600 MW",4.0,"Beaver, PA",40.63213,-80.4145,Public tracker coordinates,Beaver Valley,PA,1.2,1846.8,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
